Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,151.089996,155.490005,148.029999,155.100006,155.100006,743600
2020-03-03,154.559998,158.750000,148.009995,149.179993,149.179993,733100
2020-03-04,151.809998,154.600006,148.699997,154.229996,154.229996,559400
2020-03-05,152.580002,154.779999,150.000000,154.509995,154.509995,598200
2020-03-06,152.039993,158.169998,150.889999,157.080002,157.080002,737300
2020-03-09,148.500000,159.050003,147.070007,156.369995,156.369995,1039600
2020-03-10,160.050003,165.500000,155.380005,164.729996,164.729996,922700
2020-03-11,161.679993,161.679993,149.169998,151.130005,151.130005,1038100
2020-03-12,143.070007,149.429993,135.770004,136.970001,136.970001,1060800
2020-03-13,141.979996,142.990005,136.429993,142.820007,142.820007,1050300
2020-03-16,132.130005,148.449997,132.130005,142.440002,142.440002,1229500
2020-03-17,145.199997,148.419998,134.490005,145.250000,145.250000,1145500
2020-03-18,136.020004,146.910004,132.500000,146.550003,146.550003,969400
2020-03-19,142.410004,145.949997,135.460007,140.509995,140.509995,950600
2020-03-20,142.130005,143.869995,130.009995,130.509995,130.509995,848800
2020-03-23,132.389999,134.740005,119.010002,132.339996,132.339996,1296500
2020-03-24,136.389999,146.669998,134.440002,143.669998,143.669998,742800
2020-03-25,144.009995,152.000000,140.020004,146.889999,146.889999,469500
2020-03-26,147.399994,155.309998,147.000000,149.169998,149.169998,699800
2020-03-27,146.350006,146.520004,141.619995,145.240005,145.240005,500900
2020-03-30,146.029999,149.889999,143.690002,148.990005,148.990005,481300
2020-03-31,148.509995,151.240005,142.679993,145.160004,145.160004,633100
2020-04-01,140.949997,147.369995,140.139999,144.479996,144.479996,765800
2020-04-02,143.110001,147.460007,140.389999,143.279999,143.279999,481100
2020-04-03,142.380005,145.699997,140.820007,141.399994,141.399994,440800
2020-04-06,144.199997,150.869995,143.660004,150.259995,150.259995,574800
2020-04-07,153.000000,162.229996,151.600006,152.779999,152.779999,938200
2020-04-08,153.259995,157.479996,151.470001,156.270004,156.270004,581000
2020-04-09,156.250000,160.690002,154.600006,160.080002,160.080002,501100
2020-04-13,159.809998,159.809998,152.210007,156.389999,156.389999,445800
2020-04-14,158.259995,164.619995,157.160004,161.350006,161.350006,561500
2020-04-15,159.070007,162.820007,156.669998,159.539993,159.539993,320100
2020-04-16,160.190002,162.059998,158.080002,160.199997,160.199997,245900
2020-04-17,162.820007,166.520004,161.500000,166.020004,166.020004,497100
2020-04-20,166.000000,170.179993,163.979996,166.199997,166.199997,342900
2020-04-21,164.399994,167.779999,161.990005,164.500000,164.500000,391100
2020-04-22,167.259995,168.279999,165.220001,166.729996,166.729996,328500
2020-04-23,168.789993,171.250000,167.029999,170.759995,170.759995,443900
2020-04-24,171.889999,172.470001,167.580002,168.520004,168.520004,600500
2020-04-27,166.279999,168.509995,159.009995,163.470001,163.470001,1131000
2020-04-28,166.000000,167.850006,161.000000,164.399994,164.399994,582600
2020-04-29,165.899994,171.009995,164.750000,169.279999,169.279999,838600
2020-04-30,174.979996,198.429993,169.279999,191.250000,191.250000,2489300
2020-05-01,190.000000,190.039993,182.199997,183.490005,183.490005,835600
2020-05-04,182.580002,183.119995,177.690002,181.000000,181.000000,623500
2020-05-05,182.839996,189.619995,182.529999,186.220001,186.220001,383500
2020-05-06,187.589996,190.119995,185.029999,186.910004,186.910004,375800
2020-05-07,188.160004,192.330002,187.029999,188.330002,188.330002,654100
2020-05-08,188.139999,190.279999,185.759995,187.070007,187.070007,389800
2020-05-11,187.100006,197.449997,186.649994,194.610001,194.610001,515800
2020-05-12,192.789993,197.789993,190.520004,191.289993,191.289993,584200
2020-05-13,191.669998,193.529999,180.289993,185.600006,185.600006,489400
2020-05-14,183.979996,184.619995,181.259995,184.270004,184.270004,338600
2020-05-15,183.149994,187.580002,182.020004,184.919998,184.919998,276000
2020-05-18,188.880005,194.750000,188.880005,191.050003,191.050003,366100
2020-05-19,190.949997,194.330002,188.369995,190.789993,190.789993,339800
2020-05-20,192.619995,196.740005,192.240005,196.360001,196.360001,299600
2020-05-21,196.600006,198.550003,194.130005,196.320007,196.320007,294700
